flight,long,lat,alt,manufacturer,model,squawk,mph,spotted,cluster,anomaly
SIS300,-118.213,34.5823,0.14405565786781255,BOMBARDIER INC,BD-100-1A10,1077.0,0.7314285714285713,2022-11-07 13:30:00,1,False
UAL1434,-117.937,34.6038,0.27931246163290363,BOEING,737-9,7730.0,0.8247619047619048,2022-11-07 13:30:00,0,False
SWA3287,-118.035,34.6345,0.08717004297114794,BOEING,737-7H4,4770.0,0.5523809523809524,2022-11-07 13:30:00,1,False
AAL2059,-118.075,34.4643,0.25516676897892365,AIRBUS INDUSTRIE,A320-232,1751.0,0.8323809523809522,2022-11-07 13:30:00,1,False
N84PJ,-117.756,34.6002,0.2631471250255781,DASSAULT,FALCON 2000EX,6054.0,0.8285714285714285,2022-11-07 13:40:00,0,False
N1RB,-117.514,34.4744,0.33619807652956823,BOMBARDIER INC,BD-100-1A10,0.0,0.8457142857142856,2022-11-07 13:40:00,0,False
SWA2533,-117.624,34.5376,0.2962962962962963,BOEING,737-7H4,2712.0,0.8323809523809522,2022-11-07 13:50:00,0,False
N94HL,-117.763,34.5673,0.19275629220380602,CESSNA,525,1541.0,0.7047619047619047,2022-11-07 13:50:00,0,False
ATN3464,-117.956,34.5818,0.13177818702680583,BOEING,767-319,6663.0,0.7047619047619047,2022-11-07 13:50:00,1,False
JSX1O7,-118.121,34.6135,0.046654389195825666,EMBRAER,EMB-135LR,4624.0,0.7047619047619047,2022-11-07 14:00:00,1,False
FENIX45,-117.961,34.6441,0.09208103130755065,GATES LEAR JET,36A,4125.0,0.7047619047619047,2022-11-07 14:00:00,1,False
UAL1745,-118.071,34.4863,0.28852056476365867,BOEING,777-222,1754.0,0.8895238095238094,2022-11-07 14:00:00,1,False
N33FW,-117.789,34.5623,0.17945569879271533,CESSNA,525,4761.0,0.7047619047619047,2022-11-07 14:00:00,0,False
SWA3288,-118.42,34.3332,0.23347657049314507,BOEING,737-8H4,3632.0,0.8152380952380953,2022-11-07 14:00:00,3,False
SKW3367,-118.008,34.5734,0.15756087579292,EMBRAER S A,ERJ 170-200 LR,1334.0,0.6533333333333333,2022-11-07 14:00:00,1,False
N54DD,-117.935,34.5732,0.13341518313894002,CESSNA,560,1753.0,0.7047619047619047,2022-11-07 14:00:00,0,False
SKW4780,-118.282,34.7454,0.17659095559648047,BOMBARDIER INC,CL-600-2C10,3230.0,0.8323809523809522,2022-11-07 14:10:00,1,False
SWA2198,-117.954,34.6435,0.09453652547575199,BOEING,737-7L9,6570.0,0.6000000000000001,2022-11-07 14:10:00,1,False
0,-118.116,34.616,0.06732146511152036,TEXTRON AVIATION INC,B300,4716.0,0.3238095238095238,2022-11-07 14:10:00,1,False
SWA597,-117.858,34.511,0.13668917536320851,BOEING,737-8,3211.0,0.7047619047619047,2022-11-07 14:10:00,0,False
N111LP,-118.203,34.6004,0.06015960712093309,CESSNA,680,756.0,0.7047619047619047,2022-11-07 14:10:00,1,False
SIS35,-118.202,34.5937,0.12748107223245342,ISRAEL AIRCRAFT INDUSTRIES,GALAXY,7737.0,0.7104761904761905,2022-11-07 14:20:00,1,False
SWA3430,-118.271,34.3975,0.14507878043789646,BOEING,737-7H4,7265.0,0.7047619047619047,2022-11-07 14:20:00,1,False
N6193C,-117.996,34.7561,0.023122570083896052,CESSNA,182T,4631.0,0.7047619047619047,2022-11-07 14:20:00,1,False
SWA1582,-118.717,34.487,0.20094127276447715,BOEING,737-7H4,1320.0,0.7923809523809524,2022-11-07 14:30:00,3,False
JSX143,-118.526,34.4329,0.24288929813791693,EMBRAER,EMB-135LR,2442.0,0.7047619047619047,2022-11-07 14:30:00,3,False
SKW4744,-118.447,34.4918,0.1671782279517086,BOMBARDIER INC,CL-600-2B19,7612.0,0.6095238095238096,2022-11-07 14:30:00,3,False
AAL1208,-117.714,34.7068,0.19009617352158786,BOEING,737-823,7361.0,0.6742857142857144,2022-11-07 14:30:00,0,False
N66ZB,-117.75,34.4134,0.2895436873337426,RAYTHEON AIRCRAFT COMPANY,HAWKER 800XP,7765.0,0.7047619047619047,2022-11-07 14:30:00,0,False
N391DT,-118.562,34.5343,0.287292817679558,CESSNA,550,1542.0,0.7047619047619047,2022-11-07 14:30:00,3,False
N238JP,-117.88,34.5771,0.27931246163290363,CESSNA,550,1532.0,0.6914285714285715,2022-11-07 14:30:00,0,False
ASH5826,-118.403,34.6881,0.2791078371188868,BOMBARDIER INC,CL-600-2D24,4131.0,0.819047619047619,2022-11-07 14:30:00,3,False
JAS59,-117.921,34.6477,0.08983016165336608,GULFSTREAM AEROSPACE,GIV-X (G450),3330.0,0.6476190476190475,2022-11-07 14:40:00,1,False
QXE2038,-117.901,34.596,0.2791078371188868,EMBRAER S A,ERJ 170-200 LR,724.0,0.7752380952380953,2022-11-07 14:40:00,0,False
SKW4700,-117.959,34.5679,0.24616329036218537,BOMBARDIER INC,CL-600-2B19,2710.0,0.8019047619047619,2022-11-07 14:40:00,0,False
N98952,-118.082,34.7305,0.10313075506445672,CIRRUS DESIGN CORP,SR22T,2061.0,0.7047619047619047,2022-11-07 14:40:00,1,False
SWA854,-117.889,34.6713,0.2373644362594639,BOEING,737-8,2764.0,0.8457142857142856,2022-11-07 14:50:00,0,False
N989SG,-118.296,34.7925,0.17843257622263148,PILATUS AIRCRAFT LTD,PC-12/47E,7233.0,0.4209523809523809,2022-11-07 14:50:00,1,False
SWA3162,-118.283,34.4938,0.11254348270922855,BOEING,737-73V,7216.0,0.6666666666666667,2022-11-07 15:00:00,1,False
N149HC,-117.733,34.465,0.26335174953959484,CESSNA,550,1303.0,0.7047619047619047,2022-11-07 15:00:00,0,False
AAY8,-118.451,34.8988,0.2373644362594639,AIRBUS,A319-112,3715.0,0.8152380952380953,2022-11-07 15:10:00,2,False
JSX553,-117.799,34.7017,0.13034581542868834,Unknown,Unknown,1315.0,0.6666666666666667,2022-11-07 15:10:00,0,False
SWA2441,-118.086,34.6058,0.24575404133415185,BOEING,737-800,4730.0,0.8552380952380951,2022-11-07 15:10:00,1,False
N149HC,-118.639,35.1088,0.2619193779414774,CESSNA,550,1303.0,0.7047619047619047,2022-11-07 15:10:00,2,False
N830TD,-118.233,34.7706,0.07755269081235931,BEECH,A36,7770.0,0.22285714285714286,2022-11-07 15:10:00,1,True
N883LD,-118.15,34.6442,0.1348475547370575,GULFSTREAM AEROSPACE,G-IV,2446.0,0.6971428571428571,2022-11-07 15:20:00,1,False
